,Date,Iron_Price,Silver_Price,Gold_Price,Copper_Price,S&P_GSCI_Price,ID,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
85,12/2001,12.99,4.52,276.50,4.52,"2,823.35",28148,Oldbury,125793,5,1,6121,Perth
86,12/2001,12.99,4.52,276.50,4.52,"2,823.35",28529,West Swan,626000,4,5,6055,Perth
87,12/2001,12.99,4.52,276.50,4.52,"2,823.35",28802,Mariginiup,190000,5,3,6078,Perth
88,01/2002,12.68,4.3,282.30,4.3,"2,735.26",2965,Brigadoon,115000,4,1,6069,Perth
89,01/2002,12.68,4.3,282.30,4.3,"2,735.26",9683,Sawyers Valley,68500,4,2,6074,Perth
90,01/2002,12.68,4.3,282.30,4.3,"2,735.26",13853,Wooroloo,180000,6,3,6558,Perth
91,01/2002,12.68,4.3,282.30,4.3,"2,735.26",14313,Hovea,250000,2,2,6071,Perth
92,01/2002,12.68,4.3,282.30,4.3,"2,735.26",14606,Mardella,77000,4,2,6125,Perth
93,01/2002,12.68,4.3,282.30,4.3,"2,735.26",17630,Brigadoon,117500,4,2,6069,Perth
94,01/2002,12.68,4.3,282.30,4.3,"2,735.26",25842,Oldbury,265000,4,2,6121,Perth
95,01/2002,12.68,4.3,282.30,4.3,"2,735.26",25966,Mariginiup,367000,2,2,6078,Perth
96,01/2002,12.68,4.3,282.30,4.3,"2,735.26",28728,Hazelmere,190000,4,1,6055,Perth
97,02/2002,12.68,4.44,296.85,4.44,"2,854.74",4081,Mahogany Creek,75000,4,1,6072,Perth
98,02/2002,12.68,4.44,296.85,4.44,"2,854.74",9822,Gnangara,250000,2,2,6077,Perth
99,02/2002,12.68,4.44,296.85,4.44,"2,854.74",12829,North Lake,205000,3,2,6163,Perth
100,02/2002,12.68,4.44,296.85,4.44,"2,854.74",16174,Hazelmere,61000,4,2,6055,Perth
101,02/2002,12.68,4.44,296.85,4.44,"2,854.74",16925,Sawyers Valley,265000,4,2,6074,Perth
102,02/2002,12.68,4.44,296.85,4.44,"2,854.74",27531,North Lake,270000,3,2,6163,Perth
103,02/2002,12.68,4.44,296.85,4.44,"2,854.74",29777,Mahogany Creek,148000,3,1,6072,Perth
104,03/2002,12.68,4.68,301.40,4.68,"3,239.61",6573,Boya,150000,3,1,6056,Perth
105,03/2002,12.68,4.68,301.40,4.68,"3,239.61",7842,Walliston,160000,2,1,6076,Perth
106,03/2002,12.68,4.68,301.40,4.68,"3,239.61",8448,Mariginiup,216000,3,2,6078,Perth
107,03/2002,12.68,4.68,301.40,4.68,"3,239.61",19919,Sawyers Valley,250000,5,2,6074,Perth
108,03/2002,12.68,4.68,301.40,4.68,"3,239.61",27544,Casuarina,270000,4,2,6167,Perth
109,03/2002,12.68,4.68,301.40,4.68,"3,239.61",27882,North Lake,250000,3,2,6163,Perth
110,03/2002,12.68,4.68,301.40,4.68,"3,239.61",30424,Carmel,100000,4,1,6076,Perth
111,04/2002,12.68,4.6,308.20,4.6,"3,275.47",5507,Mardella,77000,3,1,6125,Perth
112,04/2002,12.68,4.6,308.20,4.6,"3,275.47",6721,West Swan,265000,4,1,6055,Perth
113,04/2002,12.68,4.6,308.20,4.6,"3,275.47",7695,Belhus,285000,5,2,6069,Perth
114,04/2002,12.68,4.6,308.20,4.6,"3,275.47",10250,Wungong,409000,10,3,6112,Perth
115,04/2002,12.68,4.6,308.20,4.6,"3,275.47",19054,Hovea,220000,4,2,6071,Perth
116,04/2002,12.68,4.6,308.20,4.6,"3,275.47",24035,Wungong,375000,5,2,6112,Perth
117,05/2002,12.68,5.05,326.60,5.05,"3,132.95",4422,Brigadoon,132000,4,1,6069,Perth
